,title,year,runtime,genre,average rating,total votes,region,language,primary_name,birth_year,death_year,primary_profession,category,job,characters,release date,production_budget,domestic_gross,foreign_gross,worldwide_gross,net gain,studio,original_language,popularity
119,Generation P,2011,112,"Comedy,Drama,Sci-Fi",6.8,3358,RU,,Victor Ginzburg,1959,,"director,producer,writer",director,,,,,,,,,,,
122,Drunkboat,2010,98,Drama,4.9,555,US,,Bob Meyer,,,"actor,director,writer",director,,,,,,,,,,,
124,Saving Private Perez,2011,105,"Adventure,Comedy,Western",6,1727,US,,Beto Gómez,1969,,"writer,director,producer",director,,,,,,,,,,,
126,Kill List,2011,95,"Crime,Drama,Horror",6.4,32807,EE,,Ben Wheatley,1972,,"director,writer,editor",director,,,,,,,,,,,
128,Free Fire,2016,91,"Action,Comedy,Crime",6.4,35954,GB,,Ben Wheatley,1972,,"director,writer,editor",director,,,,,,,,,,,
130,The Con Is On,2018,90,Comedy,4.6,5440,UA,,James Oakley,,,"director,producer,writer",director,,,,,,,,,,,
132,Margaret,2011,150,Drama,6.5,14708,AR,,Kenneth Lonergan,1962,,"writer,actor,director",director,,,,,,,,,,,
133,Manchester by the Sea,2016,137,Drama,7.8,214557,PE,,Kenneth Lonergan,1962,,"writer,actor,director",director,,,,,,,,,,,
134,Ex Machina,2014,108,"Drama,Mystery,Sci-Fi",7.7,424542,UA,,Alex Garland,1970,,"writer,producer,director",director,,,,,,,,,,,
135,Annihilation,2018,115,"Adventure,Drama,Horror",6.9,228664,ES,,Alex Garland,1970,,"writer,producer,director",director,,,,,,,,,,,
137,"Hot Country, Cold Winter",2016,104,Drama,4,62,XWW,en,David Safarian,,,"director,writer,editor",director,,,,,,,,,,,
139,Cielito lindo,2010,91,"Drama,Thriller",6.9,35,US,,Alejandro Alcondez,1970,,"actor,producer,director",actor,,"[""Pablo Pastor""]",,,,,,,,,
141,Clutch,2012,,"Action,Drama",7.9,23,US,,Jay Rowlands,,,"actor,producer,stunts",actor,,"[""Travis""]",,,,,,,,,
142,The Tree of Life,2011,139,"Drama,Fantasy",6.8,156266,AR,,Terrence Malick,1943,,"writer,producer,director",director,,,,,,,,,,,
143,The Mark of the Angels - Miserere,2013,106,Thriller,5.7,993,SE,,Sylvain White,,,"director,writer,producer",director,,,,,,,,,,,
147,The Croods,2013,98,"Action,Adventure,Animation",7.2,176699,BR,,Chris Sanders,1962,,"writer,actor,animation_department",director,,,,,,,,,,,
153,How to Train Your Dragon,2010,98,"Action,Adventure,Animation",8.1,611299,RS,,Chris Sanders,1962,,"writer,actor,animation_department",director,,,,,,,,,,,
165,The Croods,2013,98,"Action,Adventure,Animation",7.2,176699,HU,,Kirk DeMicco,1969,,"writer,director,soundtrack",director,,,,,,,,,,,
171,Barry Munday,2010,95,"Comedy,Drama,Romance",5.9,3846,AU,,Chris D'Arienzo,1972,,"writer,actor,director",director,,,,,,,,,,,
173,My First Miracle,2015,111,"Drama,Family,Romance",7,196,TR,tr,Rudy Luna,,,"writer,director,producer",director,,,,,,,,,,,
174,Silence,2016,161,"Adventure,Drama,History",7.2,85242,PL,,Martin Scorsese,1942,,"producer,director,actor",director,,,,,,,,,,,
177,King of the Avenue,2010,83,"Drama,Fantasy,Thriller",4,449,BR,,Ryan Combs,1974,,"director,writer,actor",director,,,,,,,,,,,
178,Caged Animal,2010,84,"Action,Drama",4.7,1497,PT,,Ryan Combs,1974,,"director,writer,actor",director,,,,,,,,,,,
181,CHIPS,2017,100,"Action,Comedy,Crime",6,37029,RO,,Dax Shepard,1975,,"actor,director,soundtrack",actor,,"[""Jon""]",,,,,,,,,
183,Hit and Run,2012,100,"Action,Comedy",6.1,32414,TR,tr,Dax Shepard,1975,,"actor,director,soundtrack",actor,,"[""Yul Perrkins a.k.a. Charles Bronson""]",,,,,,,,,
185,The Crash,2017,84,"Crime,Thriller",4.2,1089,US,,Aram Rappaport,,,"actor,director,writer",director,,,,,,,,,,,
186,Escape from Planet Earth,2013,89,"Adventure,Animation,Comedy",5.9,23298,UY,,Cal Brunker,,,"animation_department,art_department,writer",director,,,,,,,,,,,
193,The Nut Job 2: Nutty by Nature,2017,91,"Adventure,Animation,Comedy",5.5,4820,,,Cal Brunker,,,"animation_department,art_department,writer",director,,,,,,,,,,,
197,Night of the Templar,2013,101,"Horror,Mystery",5.9,5392,US,,Paul Sampson,,,"actor,writer,stunts",actor,,"[""Lord Gregoire"",""Jake McCallister""]",,,,,,,,,
198,Samsara,2011,102,"Documentary,Music",8.5,29725,US,,Ron Fricke,,,"cinematographer,camera_department,writer",director,,,,,,,,,,,
200,The Illusionist,2010,80,"Animation,Drama",7.5,31734,DK,,Sylvain Chomet,1963,,"director,writer,animation_department",director,,,,,,,,,,,
202,Night Catches Us,2010,90,"Drama,Romance",6.3,1390,US,,Tanya Hamilton,,,"director,miscellaneous,writer",director,,,,,,,,,,,
203,Only God Forgives,2013,90,"Crime,Drama",5.7,100318,LV,,Nicolas Winding Refn,1970,,"writer,director,producer",director,,,,,,,,,,,
204,The Neon Demon,2016,117,"Horror,Thriller",6.2,72359,,,Nicolas Winding Refn,1970,,"writer,director,producer",director,,,,,,,,,,,
207,Santorini Blue,2013,90,"Comedy,Drama",4.6,124,US,,Matthew D. Panepinto,,,"miscellaneous,producer,production_manager",actor,,"[""Felix Ronda""]",,,,,,,,,
209,War of the Dead,2011,86,"Action,Adventure,Horror",4.1,2378,US,,Marko Mäkilaakso,1978,,"director,writer,producer",director,,,,,,,,,,,
211,Deep Gold 3D,2011,86,Action,3.3,315,,,Michael Gleissner,1969,,"producer,actor,camera_department",actor,,"[""Benny Simpson""]",,,,,,,,,
213,The Attack,2012,102,"Drama,Mystery,War",7.1,3733,CA,fr,Ziad Doueiri,1963,,"camera_department,director,writer",director,,,,,,,,,,,
216,The Insult,2017,113,"Crime,Drama,Thriller",7.7,11168,UY,,Ziad Doueiri,1963,,"camera_department,director,writer",director,,,,,,,,,,,
218,The Boxtrolls,2014,96,"Adventure,Animation,Comedy",6.8,50763,NO,,Anthony Stacchi,,,"director,animation_department,visual_effects",director,,,,,,,,,,,
230,The Man Who Knew Infinity,2015,108,"Biography,Drama",7.2,43575,ES,,Matt Brown,,,"writer,director,producer",director,,,,,,,,,,,
232,Café de Flore,2011,120,"Drama,Romance",7.4,13733,IL,he,Jean-Marc Vallée,1963,,"producer,director,editor",director,,,,,,,,,,,
233,Elliot Loves,2012,92,"Comedy,Romance",6.2,463,US,,Terracino,1969,,"writer,director,producer",director,,,,,,,,,,,
234,The Captain,2017,118,"Drama,History,War",7.4,7279,RU,,Robert Schwentke,1968,,"director,writer,soundtrack",director,,,,,,,,,,,
235,13,2010,91,"Drama,Thriller",6.1,38418,BG,bg,Géla Babluani,1979,,"writer,director,editor",director,,,,,,,,,,,
237,Money,2017,90,Thriller,6.7,223,FR,,Géla Babluani,1979,,"writer,director,editor",director,,,,,,,,,,,
238,Jackass 3D,2010,95,"Action,Comedy,Documentary",7,53289,HU,,Jeff Tremaine,,,"writer,producer,director",director,,,,,,,,,,,
263,Bad Grandpa,2013,92,Comedy,6.5,85724,MX,,Jeff Tremaine,,,"writer,producer,director",director,,,,,,,,,,,
268,Warcraft,2016,123,"Action,Adventure,Fantasy",6.9,225557,GB,,Duncan Jones,1971,,"director,writer,producer",director,,,,,,,,,,,
270,Mute,2018,126,"Mystery,Sci-Fi,Thriller",5.4,25322,UA,,Duncan Jones,1971,,"director,writer,producer",director,,,,,,,,,,,
272,It's Kind of a Funny Story,2010,101,"Comedy,Drama,Romance",7.1,125583,CA,fr,Ryan Fleck,1976,,"director,writer,cinematographer",director,,,,,,,,,,,
278,Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",7,296225,MX,,Ryan Fleck,1976,,"director,writer,cinematographer",director,,,,,,,,,,,
288,It's Kind of a Funny Story,2010,101,"Comedy,Drama,Romance",7.1,125583,ES,,Anna Boden,1979,,"director,writer,editor",director,,,,,,,,,,,
294,Captain Marvel,2019,123,"Action,Adventure,Sci-Fi",7,296225,DE,,Anna Boden,1979,,"director,writer,editor",director,,,,,,,,,,,
304,A Letter to Elia,2010,60,Documentary,7.6,799,GR,,Kent Jones,,,"writer,director,miscellaneous",director,,,,,,,,,,,
308,Hitchcock/Truffaut,2015,79,Documentary,7.4,4977,GR,,Kent Jones,,,"writer,director,miscellaneous",director,,,,,,,,,,,
310,Belle du Seigneur,2012,104,"Drama,Romance",5.3,1125,AU,,Glenio Bonder,,2011,"director,writer",director,,,,,,,,,,,
314,Plumíferos - Aventuras voladoras,2010,80,"Adventure,Animation,Family",4,165,TR,tr,Daniel De Felippo,1972,,"director,assistant_director,writer",director,,,,,,,,,,,
324,Lavoe,2011,90,"Drama,Music",7.4,65,US,,Anthony Felton,,,"producer,director,actor",director,,,,,,,,,,,
327,The Power of Few,2013,96,"Action,Crime,Drama",5.2,3322,,,Leone Marucci,,,"producer,writer,director",director,,,,,,,,,,,
328,The Long Falling,2011,105,Drama,6.5,121,US,,Martin Provost,1957,,"actor,writer,director",director,,,,,,,,,,,
331,Violette,2013,139,"Biography,Drama,Romance",7,1776,UY,,Martin Provost,1957,,"actor,writer,director",director,,,,,,,,,,,
334,Caravaggio and My Mother the Pope,2018,90,"Comedy,Drama",8.9,51,US,,Gladys Florence,1913,,"director,actress,writer",actress,,"[""The Pope, Rembrandt, Van Gogh's mother""]",,,,,,,,,
335,I Want to Be an American,2013,70,"Biography,Documentary,Drama",6.2,8,GB,,Peter Baxter,,,"producer,director,writer",director,,,,,,,,,,,
342,Gallowwalkers,2012,90,"Action,Horror,Thriller",3.6,6793,RU,,Andrew Goth,,,"director,actor,writer",director,,,,,,,,,,,
344,Monsters,2010,94,"Drama,Sci-Fi,Thriller",6.4,84332,TR,tr,Gareth Edwards,1975,,"visual_effects,director,writer",director,,,,,,,,,,,
345,Approaching Midnight,2013,86,"Crime,Drama,Romance",5,239,,,Sam Logan Khaleghi,1983,,"producer,actor,director",actor,,"[""Staff Sergeant Wesley Kent""]",,,,,,,,,
346,Starry Eyes,2014,98,"Drama,Fantasy,Horror",6,15969,BR,,Kevin Kölsch,,,"director,writer,producer",director,,,,,,,,,,,
350,Starry Eyes,2014,98,"Drama,Fantasy,Horror",6,15969,TR,tr,Dennis Widmyer,,,"director,writer,producer",director,,,,,,,,,,,
354,Bhopal: A Prayer for Rain,2014,96,Drama,7.3,1830,,,Ravi Kumar,1971,,"director,writer,producer",director,,,,,,,,,,,
357,The Town,2010,125,"Crime,Drama,Thriller",7.6,322524,GB,,Ben Affleck,1972,,"producer,actor,writer",actor,,"[""Doug MacRay""]",,,,,,,,,
361,The Kids Are All Right,2010,106,"Comedy,Drama,Romance",7,120656,DK,,Lisa Cholodenko,1964,,"director,producer,writer",director,,,,,,,,,,,
363,Hoodwinked Too! Hood vs. Evil,2011,86,"Animation,Comedy,Crime",4.8,11281,PT,,Mike Disa,,,"art_department,animation_department,writer",director,,,,,,,,,,,
368,Night Traveler,2013,,Adventure,8.2,11,US,,R.E. Asbury,,,"director,actor,writer",actor,,"[""Mingo Coyote, Mimic""]",,,,,,,,,
369,The Avengers,2012,143,"Action,Adventure,Sci-Fi",8.1,1183655,HR,,Joss Whedon,1964,,"writer,producer,director",director,,,,,,,,,,,
371,Epic,2013,102,"Adventure,Animation,Family",6.7,95318,FI,,Chris Wedge,1957,,"actor,producer,director",director,,,,,,,,,,,
377,The Sighting,2016,98,"Horror,Sci-Fi,Thriller",3.8,747,,,Adam Pitman,,,"producer,writer,director",actor,,"[""Travis Brooks""]",,,,,,,,,
383,Jack & Diane,2012,110,"Drama,Horror,Romance",4.5,2538,US,,Bradley Rust Gray,,,"writer,editor,director",director,,,,,,,,,,,
384,Risen,2010,121,"Biography,Drama",5.3,182,HU,,Neil Jones,1980,,"producer,director,writer",director,,,,,,,,,,,
386,The Sweeney,2012,112,"Action,Crime,Drama",6.1,18095,BG,bg,Nick Love,1969,,"writer,producer,director",director,,,,,,,,,,,
389,Bunohan: Return to Murder,2011,97,"Action,Drama",5.9,425,MY,,Dain Said,,,"director,writer,actor",director,,,,,,,,,,,
390,Letting Go,2012,83,"Drama,Romance",6.5,75,US,,Jake Torem,,,"actor,producer,director",actor,,"[""Joel""]",,,,,,,,,
391,6 Month Rule,2011,100,Comedy,4.9,595,US,,Blayne Weaver,1976,,"actor,writer,director",actor,,"[""Tyler""]",,,,,,,,,
392,Cut to the Chase,2016,90,"Action,Crime,Thriller",4.9,271,US,,Blayne Weaver,1976,,"actor,writer,director",actor,,"[""Max Chase""]",,,,,,,,,
393,Beijing Taxi,2010,78,Documentary,6.8,55,US,,Miao Wang,1977,,"editor,director,producer",director,,,,,,,,,,,
394,Bury the Hatchet,2010,120,Documentary,8.6,14,US,,Aaron Walker,,,"director,editor,writer",director,,,,,,,,,,,
395,Jewtopia,2012,90,"Comedy,Romance",4.5,1342,ES,,Bryan Fogel,,,"producer,director,writer",director,,,,,,,,,,,
397,Icarus,2017,120,"Documentary,Sport,Thriller",7.9,28979,PL,,Bryan Fogel,,,"producer,director,writer",self,,"[""Himself""]",,,,,,,,,
401,Please Give,2010,87,"Comedy,Drama",6.6,10652,UY,,Nicole Holofcener,1960,,"director,writer,actress",director,,,,,,,,,,,
402,Enough Said,2013,93,"Comedy,Drama,Romance",7,55698,LT,,Nicole Holofcener,1960,,"director,writer,actress",director,,,,,,,,,,,
403,Eat Pray Love,2010,133,"Drama,Romance",5.8,77709,PL,,Ryan Murphy,1965,,"writer,producer,music_department",director,,,,,,,,,,,
406,Snitch,2013,112,"Action,Drama,Thriller",6.5,78142,JP,,Ric Roman Waugh,1968,,"stunts,writer,director",director,,,,,,,,,,,
408,Shot Caller,2017,121,"Crime,Drama,Thriller",7.3,58962,US,,Ric Roman Waugh,1968,,"stunts,writer,director",director,,,,,,,,,,,
409,The Wedding Ringer,2015,101,Comedy,6.7,66893,IT,,Jeremy Garelick,1975,,"producer,writer,director",director,,,,,,,,,,,
411,Hyenas,2011,92,Horror,2.8,952,US,,Eric Weston,,,"producer,editor,director",director,,,,,,,,,,,
412,Repo,2010,97,"Comedy,Drama",4.5,215,,,Benjamin Gourley,1978,,"actor,writer,director",actor,,"[""Leon""]",,,,,,,,,
413,Hamlet A.D.D.,2014,95,"Animation,Comedy,Fantasy",7.1,78,US,,Bobby Ciraldo,1974,,"writer,actor,producer",actor,,"[""Hamlet""]",,,,,,,,,
419,Hamlet A.D.D.,2014,95,"Animation,Comedy,Fantasy",7.1,78,US,,Andrew Swant,1976,,"producer,writer,actor",actor,,"[""Horatio""]",,,,,,,,,
425,How to Train Your Dragon,2010,98,"Action,Adventure,Animation",8.1,611299,HU,,Dean DeBlois,1970,,"writer,animation_department,director",director,,,,,,,,,,,
437,How to Train Your Dragon 2,2014,102,"Action,Adventure,Animation",7.8,278205,UY,,Dean DeBlois,1970,,"writer,animation_department,director",director,,,,,,,,,,,
439,How to Train Your Dragon: The Hidden World,2019,104,"Action,Adventure,Animation",7.6,60769,BR,,Dean DeBlois,1970,,"writer,animation_department,director",director,,,,,,,,,,,
441,The Whistleblower,2010,112,"Action,Biography,Crime",7.2,29826,ES,ca,Larysa Kondracki,,,"director,producer,writer",director,,,,,,,,,,,
443,Suite Française,2014,107,"Drama,Romance,War",7,19978,BR,,Saul Dibb,1968,,"director,writer,cinematographer",director,,,,,,,,,,,
446,Westbrick Murders,2010,90,"Action,Crime,Thriller",2.7,351,GR,,Shaun Rana,1978,,"visual_effects,editor,producer",director,,,,,,,,,,,
447,Prey,2010,90,"Adventure,Drama,Horror",5.3,840,,,Antoine Blossier,,,"director,writer",director,,,,,,,,,,,
449,The Grad Job,2014,95,Comedy,5.4,256,FR,,Antoine Blossier,,,"director,writer",director,,,,,,,,,,,
452,"Remi, Nobody's Boy",2018,105,"Comedy,Drama",6.8,343,XWW,en,Antoine Blossier,,,"director,writer",director,,,,,,,,,,,
454,Exposed,2012,82,"Drama,Mystery,Thriller",6.6,44,US,,Shashi Balooja,,,"actor,producer,writer",actor,,"[""Andy Hernandez""]",,,,,,,,,
458,House Under Siege,2010,78,"Action,Thriller",4,82,,,Mark Hazen Kelly,,,"director,writer,editor",director,,,,,,,,,,,
459,Jackboots on Whitehall,2010,91,"Animation,Comedy,Sci-Fi",5.3,1178,RU,,Rory McHenry,,,"writer,director,cinematographer",actor,,"[""Johnny""]",,,,,,,,,
463,12 Feet Deep,2017,85,"Horror,Thriller",5.6,10731,DE,,Matt Eskandari,,,"director,producer,writer",director,,,,,,,,,,,
465,White Men Can't Dance,2012,105,"Drama,Family",4.3,46,US,,Pete Vinal,,,"actor,director,writer",actor,,"[""Pete Weaver""]",,,,,,,,,
466,The Penthouse,2010,89,Comedy,3.7,1345,,,Chris Levitus,,,"editor,director,writer",director,,,,,,,,,,,
470,"Glenn, the Flying Robot",2010,85,"Drama,Sci-Fi",3.8,299,,,Marc Goldstein,,,"director,writer,producer",director,,,,,,,,,,,
471,The Waiter,2010,92,"Action,Crime,Drama",6.4,221,,,Jason Konopisos-Alvarez,,,"actor,writer,producer",actor,,"[""Actor""]",,,,,,,,,
472,How to Talk to Girls at Parties,2017,102,"Comedy,Music,Romance",5.8,7321,RS,,John Cameron Mitchell,1963,,"actor,director,writer",director,,,,,,,,,,,
475,Freaky Deaky,2012,90,"Comedy,Crime,Thriller",6.1,6088,PL,,Charles Matthau,1962,,"actor,producer,director",director,,,,,,,,,,,
477,Reach Me,2014,95,"Comedy,Crime,Drama",4.9,2304,LT,,John Herzfeld,,,"writer,director,actor",director,,,,,,,,,,,
478,Let Me Survive,2013,,Drama,4.2,22,JP,en,Eduardo Rossoff,,,"producer,director,writer",director,,,,,,,,,,,
482,Reencarnación: Una historia de amor,2013,,Crime,4.7,36,MX,,Eduardo Rossoff,,,"producer,director,writer",director,,,,,,,,,,,
484,A Monster in Paris,2011,90,"Adventure,Animation,Comedy",6.7,18254,FI,,Bibo Bergeron,,,"art_department,animation_department,director",director,,,,,,,,,,,
486,Feast of the Assumption: BTK and the Otero Family Murders,2010,86,"Crime,Documentary",6,215,,,Marc Levitz,,,"miscellaneous,director,writer",director,,,,,,,,,,,
488,The Reason,2010,70,"Drama,Fantasy,History",7.5,12,,,Gustavo Charif,1966,,"director,editor,writer",director,,,,,,,,,,,
490,Boyle Heights,2010,101,Action,4.6,9,US,,Francisco Aragon,1973,,"actor,location_management,producer",actor,,"[""Frankie the hitman""]",,,,,,,,,
491,Lottery Ticket,2010,99,Comedy,5,10042,HU,,Erik White,,,"director,writer",director,,,,,,,,,,,
493,The Magic Crystal,2011,80,"Adventure,Animation,Comedy",4.1,188,GB,,Antti Haikala,,,"animation_department,producer,visual_effects",director,,,,,,,,,,,
502,Detention,2010,81,"Horror,Thriller",3,889,RU,,James D.R. Hickox,1965,,"director,editorial_department,actor",director,,,,,,,,,,,
506,Legend of the Red Reaper,2013,99,"Action,Adventure,Fantasy",2.2,495,DE,,Tara Cardinal,1978,,"actress,writer,producer",actress,,"[""The Red Reaper""]",,,,,,,,,
508,Scarlet Samurai: Incarnation,2013,89,"Action,Adventure,Fantasy",4.5,45,US,,Tara Cardinal,1978,,"actress,writer,producer",actress,,"[""Feng"",""Ikari""]",,,,,,,,,
512,Bibliothèque Pascal,2010,105,Drama,7.2,1644,RS,,Szabolcs Hajdu,1972,,"actor,director,writer",director,,,,,,,,,,,
513,It's Not the Time of My Life,2016,81,Drama,7.4,1136,PL,,Szabolcs Hajdu,1972,,"actor,director,writer",actor,,"[""Farkas""]",,,,,,,,,
514,The Experiment,2010,96,"Drama,Thriller",6.5,48248,HR,,Paul Scheuring,1968,,"writer,producer,director",director,,,,,,,,,,,
519,Straw Dogs,2011,110,"Action,Drama,Thriller",5.8,30924,IT,,Rod Lurie,1962,,"writer,director,producer",director,,,,,,,,,,,
523,Petty Letters and Love Crimes,2010,85,Comedy,6.3,119,ES,,Gianfrancesco Lazotti,1957,,"director,writer,assistant_director",director,,,,,,,,,,,
524,Call of Life,2010,60,Documentary,7.8,31,US,,Monte Thompson,,,"director,actor,writer",director,,,,,,,,,,,
527,Last Breath,2010,91,Horror,3.9,256,,,Ty Jones,,,"camera_department,cinematographer,producer",actor,,"[""Michael Johnson""]",,,,,,,,,
528,Ordinary People,2016,107,Drama,7.4,128,XWW,en,Eduardo W. Roy Jr.,,,"miscellaneous,writer,director",director,,,,,,,,,,,
529,Return of the Atom,2015,110,Documentary,5.8,89,SE,,Mika Taanila,1965,,"director,editor,writer",director,,,,,,,,,,,
533,Return of the Atom,2015,110,Documentary,5.8,89,,,Jussi Eerola,,,"cinematographer,writer,producer",director,,,,,,,,,,,
537,Superplokhie,2016,75,"Comedy,Crime,Drama",4.1,68,XWW,en,Dmitriy Suvorov,,,"director,writer,editor",director,,,,,,,,,,,
538,Ratchet & Clank,2016,94,"Action,Adventure,Animation",5.6,9033,ES,,Kevin Munroe,,,"writer,director,producer",director,,,,,,,,,,,
550,A Brother's Love,2019,117,Drama,6.6,45,XWW,en,Monia Chokri,,,"actress,writer,director",director,,,,,,,,,,,
551,In Search of Flight AF447,2019,90,Documentary,7.4,10,FR,,Simon Kessler,,,"director,camera_department,actor",director,,,,,,,,,,,
553,Splintered,2010,85,"Horror,Thriller",4.1,952,RO,,Simeon Halligan,1967,,"production_designer,art_director,director",director,,,,,,,,,,,
556,The Runaways,2010,106,"Biography,Drama,Music",6.6,43792,US,,Floria Sigismondi,1965,,"director,writer,actress",director,,,,,,,,,,,
558,Les Misérables,2019,102,Drama,7.4,134,FR,,Ladj Ly,,,"actor,director,writer",director,,,,,,,,,,,
561,Middle of Nowhere,2012,97,Drama,6.4,1406,US,,Ava DuVernay,1972,,"miscellaneous,writer,producer",director,,,,,,,,,,,
562,13th,2016,100,"Crime,Documentary,History",8.2,19507,SE,,Ava DuVernay,1972,,"miscellaneous,writer,producer",director,,,,,,,,,,,
564,Centurion,2010,97,"Action,Adventure,Drama",6.4,74085,,,Neil Marshall,1970,,"director,producer,editor",director,,,,,,,,,,,
565,Certified Copy,2010,106,"Drama,Romance",7.3,18210,HU,,Abbas Kiarostami,1940,2016,"director,writer,editor",director,,,,,,,,,,,
567,Killer in Law,2018,90,Thriller,5.6,64,XWW,en,Danny J. Boyle,,,"director,producer,writer",director,,,,,,,,,,,
569,Give Me My Baby,2016,84,Thriller,5,125,FR,,Danny J. Boyle,,,"director,producer,writer",director,,,,,,,,,,,
